exp,subj,within,between
dots,pc07,0.0376849164369,0.0272685119332
dots,pc08,0.0639249027723,0.025002402606
dots,pc11,0.0418231657404,0.0349976204273
dots,pc12,0.0576920541832,0.0373507326394
dots,pc13,0.0675718028444,0.0343635226068
dots,pc14,0.0784834767373,0.021561738198
dots,pc15,0.0502811699351,0.0216835908231
dots,pc16,0.0511893165219,0.0251314240115
dots,pc17,0.0776640411364,0.0548462193114
dots,pc18,0.0822992587316,0.0498044199748
dots,pc19,0.0668765374673,0.0220421692341
dots,pc22,0.0763126735305,0.0574098346231
dots,pc23,0.082199053789,0.0443933153999
dots,pc24,0.0587574292685,0.0344776530099
rest,ti01,0.0400574482695,0.0226811311732
rest,ti03,0.0469895289475,0.0181489326845
rest,ti05,0.0208304710418,0.0150385003444
rest,ti06,0.0383203803553,0.0215478243281
rest,ti07,0.0319471592385,0.0235849866241
rest,ti08,0.0294467694482,0.0243552269201
sticks,ti01,0.0331302798783,0.0166583159949
sticks,ti03,0.0356188896506,0.0134116091799
sticks,ti05,0.019379624783,0.0139480818486
sticks,ti06,0.0319558573717,0.0191404122666
sticks,ti07,0.0356237944898,0.0271207597205
sticks,ti08,0.0252433897616,0.0184562910029
